X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
Illinois,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"$75,000 - $99,999","Yes, extended family",No,No,Public,My school did not offer,My school did not offer,5,5,"Academic Clubs/Competition, Community Service, Religious group, Student Government, Paid work",No,,EDI,5,"Indiana University Indianapolis, University of Southern Indiana, Vincennes University, Olney Central College",Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, but I did not submit it",1340,29,No,"Cost, Location, Student Life","Campus tour, 'Dore For A Day, Anchor Day (admitted students day)",College of Arts of Science,"Yes, Peabody",Psychology,No,North,North,"Yes, full cost of attendence",No,$0 ,Not sure,2,4,2,7,5,6,4,3,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Maryland,,No,"White/Caucasian, Middle Eastern/North African",No,Bisexual/pansexual,Woman,No,No,Christian,"$750,000 - $999,999",No,No,No,Public,4,9,7,0,"Academic Clubs/Competition, Advocacy, Community Service, Dance, Journalism",No,,EDI,13,,Vanderbilt was my first choice,No,"Yes, and I submitted it",,35,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Brand name/rankings, Student Life","Campus tour, 'Dore For A Day, Commodore Launch",College of Arts of Science,No,Anthropology,No,Memorial,Memorial,No,No,$0 ,No,2,6,2,3,7,6,5,5,7,5,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram",Never,Never,Never,Never,,No,N/A (I have never owned a fake ID)
Tennessee,,No,Asian/Pacific Islander,No,Gay/lesbian,Nonbinary or gender nonconforming,Yes,Yes,"None (Atheist, Agnostic, etc.)","Under $50,000","Yes, sibling(s)",No,No,Public,10+,My school did not offer,6,1,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Paid work",No,,EDI,3,UTK,Vanderbilt was my first choice,No,"Yes, and I submitted it",,34,No,"Cost, Location, Academics",None,School of Engineering,No,Computer Science,No,Memorial,Gillette,"Yes, full cost of attendence",No,$0 ,No,2,5,1,5,7,7,7,7,7,4,I am registered to vote but do not vote,I intend to vote for Kamala Harris,2-4 hours,X (formerly Twitter),Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
New Jersey,,No,White/Caucasian,No,Heterosexual,Man,No,No,Jewish,"$1,000,000 or more",No,No,No,Public,1,My school did not offer,10+,5,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Religious group","Yes, in both high school and college","Research, Coding",EDI,11,,Vanderbilt was my first choice,"Yes, and I submitted it",No,1520,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, Campus",Campus tour,College of Arts of Science,No,Economics,No,Hank Ingram,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",5,2,1,6,7,2,4,3,2,1,"Yes, in my home state/country",Prefer not to answer,2-4 hours,"News websites/apps, Instagram, Youtube",Once a month,Once a week,Never,Never,None,Yes,New Jersey
Idaho,,No,White/Caucasian,No,Bisexual/pansexual,Woman,No,Yes,"None (Atheist, Agnostic, etc.)","$75,000 - $99,999",No,No,No,Public,6,My school did not offer,2,10+,"Academic Clubs/Competition, Community Service, Family Responsibilities, Paid work",No,,EDI,4,"boise state university, college of idaho, college of western idaho",Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, but I did not submit it",1250,28,"No, ","Cost, Academics",None,Peabody College of Education and Human Development,No,Special Education,No,Sutherland,Sutherland,"Yes, more than half the cost of attendance",No,"$1-$4,999",No,2,4,1,3,2,6,4,4,7,2,"I am eligible to vote, but am not registered",I intend to vote for Kamala Harris,4-6 hours,"Instagram, Facebook",Once a month,Once a month,Four or more times a week,Three times a week,None,Yes,N/A (I have never owned a fake ID)
Illinois,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,Yes,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999",No,No,No,Public,7,My school did not offer,3,0,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Career-oriented internship, Journalism, Speech and Debate, Paid work","Yes, in both high school and college","Writing, Research",Regular Decision,20,"Boston College, UNC Chapel Hill, University of Illinois at Urbana-Champaign, University of Wisconsin-Madison, George Washington University, University of Michigan ",Vanderbilt was not my first choice but was one of my top choices,No,No,,,No,"Cost, Academics, Brand name/rankings",Anchor Day (admitted students day),Peabody College of Education and Human Development,No,Human and Organizational Development (HOD),"Yes, as a pre-law student",Crawford,Hank Ingram,"Yes, more than half the cost of attendance","Yes, covers partial tuition","$20,000 - $29,999",Not sure,2,7,1,4,7,7,4,7,7,1,"I am eligible to vote, but am not registered",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram, TikTok",Once a semester,Once a month,Once a semester,Never,None,Yes,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,No,Bisexual/pansexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$50,000 - $74,999",No,No,No,Home School,My school did not offer,My school did not offer,6,4,"Academic Clubs/Competition, Athletics, Community Service, Speech and Debate, Student Government, Paid work","Yes, in both high school and college","Research, Math",Regular Decision,22,"University of Tennessee Knoxville, Vassar College",Vanderbilt was not my first choice nor was it among my top choices,No,"Yes, and I submitted it",,35,No,"Cost, Academics, Brand name/rankings","Dore For A Day, Anchor Day (admitted students day)",College of Arts of Science,No,"Medicine, Health, and Society (MHS)","Yes, as a pre-med student",Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,1,5,1,5,7,5,4,7,7,2,"Yes, in Tennessee",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Instagram",Never,Never,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
Texas,,No,Asian/Pacific Islander,No,Bisexual/pansexual,Woman,No,No,Christian,"$100,000 - $149,999",No,No,No,Public,10+,My school did not offer,10+,5,"Academic Clubs/Competition, Advocacy, Community Service, Family Responsibilities, Music, Student Government, writing","Yes, in both high school and college","Writing, Research",Regular Decision,20,"Pitt, Trinity University, Oberlin, UT Austin, Boston College, Emory, Rice, Amherst, Bowdoin, Williams",Vanderbilt was not my first choice nor was it among my top choices,"Yes, but I did not submit it","Yes, but I did not submit it",1240,33,No,"Cost, Location, Academics",Anchor Day (admitted students day),Peabody College of Education and Human Development,No,Human and Organizational Development (HOD),No,Crawford,Crawford,"Yes, more than half the cost of attendance","Yes, covers full tuition","$15,000 - $19,999",No,1,5,1,4,7,5,5,7,6,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television, Instagram, X (formerly Twitter), Youtube",Never,Never,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
Connecticut,,Yes,"White/Caucasian, Middle Eastern/North African",No,Heterosexual,Woman,No,No,Christian,"$500,000 - $749,999",No,No,No,Private,5,My school did not offer,8,My school did not offer,"Athletics, Community Service, Family Responsibilities, Journalism, Music, Student Government, Paid work","Yes, in both high school and college","Writing, Research",EDI,10,"UMiami, Villanova, Penn State, SMU and TCU",Vanderbilt was my first choice,No,"Yes, but I did not submit it",,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Brand name/rankings, Student Life",Campus tour,College of Arts of Science,"Yes, Peabody",English,No,Crawford,Crawford,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",4,4,3,6,7,5,4,4,7,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram, TikTok, X (formerly Twitter)",Twice a week,Twice a week,Never,Never,,Yes,"Colorado, New York"
Minnesota,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"$100,000 - $149,999",No,No,No,Public,6,My school did not offer,1,8,"Academic Clubs/Competition, Athletics, Community Service, Speech and Debate, Student Government, Paid work","Yes, in high school but not in college",Research,EDI,4,Gustavus Adolphus and University of Minnesota (Twin Cities and Duluth campuses),Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, but I did not submit it",1380,25,No,"Academics, Campus, Student Life",Campus tour,Peabody College of Education and Human Development,No,Cognitive Studies,No,North,North,"Yes, more than half the cost of attendance","Yes, covers full tuition",I don't know,Not sure,2,4,3,3,7,7,4,4,7,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts, Instagram, TikTok, X (formerly Twitter)",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
New York,,No,White/Caucasian,No,Bisexual/pansexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$100,000 - $149,999",No,No,No,Public,5,7,10+,3,"Academic Clubs/Competition, Dance, Music, Research, Paid work",No,,EDI,2,none - rescinded my application to the other school!,Vanderbilt was my first choice,"Yes, and I submitted it",No,1530,,No,"Academics, Brand name/rankings, Student Life",Campus tour,College of Arts of Science,No,Biochemistry and Chemical Biology,No,Sutherland,Hank Ingram,"Yes, more than half the cost of attendance","Yes, covers partial tuition",$0 ,No,1,4,1,6,7,7,3,6,7,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Instagram, TikTok",Once a semester,Once a week,Three times a week,Four or more times a week,"Cocaine, Psilocybin (Shrooms)",No,N/A (I have never owned a fake ID)
New Jersey,,No,White/Caucasian,No,Heterosexual,Man,No,No,Jewish,"$100,000 - $149,999",No,No,No,Public,9,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Career-oriented internship, Journalism, Paid work","Yes, in high school but not in college",Research,Regular Decision,21,,Vanderbilt was my first choice,"Yes, and I submitted it","Yes, but I did not submit it",1550,31,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, School size, Campus","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,Economics and History,No,Memorial,Murray,No,"Yes, covers partial tuition",I don't know,"Yes, I plan to participate in IFC recruitment",4,1,4,5,5,4,4,5,6,3,"Yes, in Tennessee",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television, Instagram, TikTok, X (formerly Twitter)",Prefer not to answer,Prefer not to answer,Never,Never,,Prefer not to answer,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$200,000 - $299,999",No,No,No,Private,7,My school did not offer,4,My school did not offer,"Advocacy, Community Service, Cultural and Affinity Clubs, Career-oriented internship, Music, Theater",No,,EDI,1,,Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, and I submitted it",1520,35,No,"Academics, Brand name/rankings, Student Life","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,Sociology,"Yes, as a pre-law student",Sutherland,Sutherland,"Yes, less than half the cost of attendance",No,I don't know,No,3,5,3,6,7,4,5,7,6,3,"Yes, in Tennessee",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts, Youtube",Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
California,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"$300,000 - $499,999",No,No,No,Public,10+,My school did not offer,10+,3,"Athletics, Family Responsibilities, Paid work","Yes, in college but not in high school",reading,Regular Decision off the waitlist,14,,Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,35,No,"Location, Academics, Student Life",Campus tour,Peabody College of Education and Human Development,No,Human and Organizational Development (HOD),"Yes, as a pre-law student",Memorial,Memorial,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,5,2,5,7,5,4,5,7,2,"Yes, in Tennessee",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram, TikTok, Other social media",Once a week,Twice a week,Never,Never,,No,Prefer not to answer
Michigan,,No,White/Caucasian,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$500,000 - $749,999","Yes, one parent",No,No,Public,9,My school did not offer,10+,1,"Academic Clubs/Competition, Athletics, Community Service, Music, Paid work",No,,EDI,8,,Vanderbilt was my first choice,"Yes, and I submitted it","Yes, and I submitted it",1560,35,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, Campus","Campus tour, 'Dore For A Day, Anchor Day (admitted students day)",College of Arts of Science,No,Neuroscience,"Yes, as a pre-med student",North,North,No,No,I don't know,Not sure,2,3,6,6,7,5,4,6,7,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"News websites/apps, Instagram, TikTok, X (formerly Twitter)",Once a month,Once a week,Never,Never,None,Yes,N/A (I have never owned a fake ID)
California,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Jewish,"$500,000 - $749,999","Yes, sibling(s)",No,No,Public,8,My school did not offer,7,0,"Academic Clubs/Competition, Athletics, Community Service, Journalism, Student Government, Paid work","Yes, in both high school and college","Writing, Math",Regular Decision,21,"Vanderbilt, U Wisconsin Madison, UCSB, Syracuse, CU Boulder, Lehigh, Cal Poly SLO, U Maryland, U Oregon",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,36,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Student Life",Campus tour,College of Arts of Science,No,"Medicine, Health, and Society (MHS)","Yes, as a pre-med student",Murray,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",3,4,2,6,7,5,4,5,6,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Podcasts, Television, Print, Instagram, TikTok, Youtube, Other social media",Once a week,Twice a week,Once a week,Once a month,None,Yes,California
Illinois,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$200,000 - $299,999",No,No,No,Private,1,My school did not offer,4,My school did not offer,"Academic Clubs/Competition, Community Service, Journalism",No,,EDII,22,University of Illinois at Urbana-Champaign,Vanderbilt was not my first choice but was one of my top choices,No,No,,,"Yes, standardized testing (ACT/SAT) tutoring","Academics, Campus, Student Life",Campus tour,College of Arts of Science,"Yes, Peabody",Economics,No,Crawford,Crawford,No,"Yes, covers full tuition",$0 ,"Yes, I plan to participate in Panhellenic recruitment",3,6,4,5,6,5,4,7,5,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,1-2 hours,News websites/apps,Once a month,Once a week,Never,Never,Psilocybin (Shrooms),Yes,Ohio
None of the Above,Canada,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,Buddhist,"$75,000 - $99,999",No,No,No,Public,5,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Advocacy, Community Service, Career-oriented internship, Model UN, Speech and Debate, Student Government",No,,Regular Decision,30,,Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1540,,No,"Academics, Faculty, Brand name/rankings",Anchor Day (admitted students day),College of Arts of Science,No,Political Science,"Yes, as a pre-law student",Murray,Murray,No,"Yes, covers partial tuition",$0 ,No,2,3,6,5,7,4,4,7,7,4,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts, Television, Instagram, X (formerly Twitter), Youtube, Other social media",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Massachusetts,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$300,000 - $499,999",No,No,No,Public,10+,My school did not offer,9,0,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Music","Yes, in both high school and college","Writing, Research, Coding, Math",EDI,13,"U Chicago, UMich",Vanderbilt was my first choice,"Yes, and I submitted it",No,1570,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Brand name/rankings, Campus",Campus tour,Blair School of Music,No,Molecular and Cellular Biology,"Yes, as a pre-med student",Sutherland,Sutherland,No,"Yes, covers partial tuition",$0 ,No,5,1,1,6,5,3,4,2,5,4,"I am eligible to vote, but am not registered",I do not intend to vote,4-6 hours,"News websites/apps, Instagram, Youtube",Never,Once a week,Never,Never,None,No,N/A (I have never owned a fake ID)
Delaware,,No,African American/Black,No,Heterosexual,Woman,No,Yes,Christian,"$50,000 - $74,999",No,No,No,Public,2,My school did not offer,My school did not offer,6,"Academic Clubs/Competition, Advocacy, Community Service, Family Responsibilities, Career-oriented internship, Journalism, Religious group, Research, Paid work",No,,EDI,4,"University of Delaware, Fordham University, Temple University",Vanderbilt was my first choice,"Yes, but I did not submit it",No,1150,,No,"Cost, Brand name/rankings, Student Life",None,College of Arts of Science,No,"Medicine, Health, and Society (MHS)",Pre-Physician Assistant ,North,Hank Ingram,"Yes, full cost of attendence",No,$0 ,"Yes, I plan to participate in NPHC recruitment, Not sure",2,5,2,5,7,5,4,6,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"News websites/apps, TikTok, X (formerly Twitter)",Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Ohio,,No,White/Caucasian,No,Bisexual/pansexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$200,000 - $299,999",No,No,No,Public,10+,My school did not offer,8,1,"Athletics, Community Service, Journalism, Student Government, Theater",No,,Regular Decision,10,"Northwestern, Emory, Tulane, Denison, Kenyon, William and Mary, Loyola Chicago",Vanderbilt was my first choice,No,"Yes, and I submitted it",,35,No,"Cost, Academics, Student Life","Campus tour, 'Dore For A Day, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,English,No,Hank Ingram,Hank Ingram,"Yes, less than half the cost of attendance","Yes, covers partial tuition",$0 ,No,3,4,1,7,5,6,5,2,7,3,I am not eligible to vote,I am not eligible to vote,2-4 hours,"News websites/apps, Television, Instagram",Never,Never,Never,Never,Prefer not to answer,No,California
Georgia,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$75,000 - $99,999",No,No,No,Public,10+,My school did not offer,10+,0,"Advocacy, Community Service, Cultural and Affinity Clubs, Music, Student Government, Paid work, Student leadership groups",No,,EDI,3,"University of Georgia, Georgia Institute of Technology",Vanderbilt was my first choice,"Yes, and I submitted it",No,1470,,No,"Academics, Post-grad opportunities, Student Life","Campus tour, Commodore Launch",College of Arts of Science,No,Psychology,No,Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,No,2,5,4,3,7,6,4,5,7,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television, Instagram, TikTok, X (formerly Twitter)",Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
